"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-26","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","82",",,7","64",",,7","69",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-27","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","84",",,7","68",",,7","71",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-28","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","85",",,7","67",",,7","71",",,7,0700",,,,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-29","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","86",",,7","58",",,7","59",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-06-30","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","72",",,7","56",",,7","61",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-01","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","78",",,7","61",",,7","65",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-02","0.00","T,,7,0700","0.0",",,7,","0.0",",,7,","80",",,7","57",",,7","60",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-03","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","73",",,7","56",",,7","60",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-04","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","75",",,7","58",",,7","60",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-05","0.15",",,7,0700","0.0",",,7,","0.0",",,7,","73",",,7","60",",,7","69",",,7,0700","0.0",",,7","    1",",,7",,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-06","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","84",",,7","68",",,7","71",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-07","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","88",",,7","71",",,7","74",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-08","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","85",",,7","70",",,7","74",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-09","0.49",",,7,0700","0.0",",,7,","0.0",",,7,","79",",,7","71",",,7","73",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-10","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","84",",,7","65",",,7","67",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-11","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","81",",,7","59",",,7","64",",,7,0700","0.0",",,7",,,,,,,,,,,,
"USC00368449","STATE COLLEGE, PA US","40.79326","-77.86712","356.6","2016-07-12","0.00",",,7,0700","0.0",",,7,","0.0",",,7,","82",",,7","63",",,7","67",",,7,0700","0.0",",,7",,,,,,,,,,,,
